AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress
369,1,13,Kuta Beach - Bali,Kuta
481,1,13,Nusa Dua Beach,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia"
640,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia"
650,1,13,Sanur Beach,Sanur
673,1,13,Seminyak Beach,Seminyak
737,1,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia"
748,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia"
749,1,93,Tegenungan Waterfall,"Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia"
824,1,76,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia"
841,1,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia"
877,2,13,Balekambang Beach,Malang District
888,2,61,Bromo Tengger Semeru National Park,"Asrikaton - Pakis, Malang 65100 Indonesia"
897,2,93,Coban Rondo Waterfall,Malang District
913,2,13,Goa Cina Beach,"Dusun Trowotratih, Desa Sitiarjo Kecamatan Sumbermanjing Wetan, Malang 65111 Indonesia"
920,2,64,Jodipan Colorful Village,"Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia"
928,2,82,Khayangan Reflexology & Massage,Malang
937,2,72,Malang City Square,"Jl. Merdeka Utara, Malang 65119 Indonesia"
947,2,91,Mount Semeru Volcano,Malang Lumajang
949,2,84,Museum Malang Tempo Doeloe,"Jl. Gajahmada no. 2, Malang 65119 Indonesia"
975,2,63,Sempu Island,"Sumber Manjing Wetan, Malang 65111 Indonesia"
1133,3,19,Jomblang Cave,"Jetis Wetan, Pacarejo, Semanu 55581 Indonesia"
1137,3,61,Kalibiru National Park,Kulon Progo
1166,3,34,Malioboro Road,Yogyakarta
1171,3,91,Merapi Volcano,Yogyakarta
1220,3,10,Ramayana Ballet at Prambanan,Sleman
1225,3,2,Ratu Boko Temple,Yogyakarta
1238,3,2,Sewu Temple,Yogyakarta
1278,3,45,Ullen Sentalu Museum,"Jl. Boyong Taman Wisata, 55581 Indonesia"
1280,3,72,Water Castle (Tamansari),"Jl. Taman, 55133 Indonesia"
1297,3,44,Yogyakarta Palace,Yogyakarta
1302,2,64,Art Gallery - South Region,"Main Street, South Region, Cameroon"
1303,2,34,Farmers' Market - South Region,"Main Street, South Region, Cameroon"
1304,2,34,Night Market - South Region,"Main Street, South Region, Cameroon"
1305,2,76,Cathedral - South Region,"Main Street, South Region, Cameroon"
1306,1,91,Eco Park - Douala,"Main Street, Douala, Cameroon"
1307,1,64,Art Gallery - Douala,"Main Street, Douala, Cameroon"
1308,1,13,Paradise Beach - Douala,"Main Street, Douala, Cameroon"
1309,1,76,Sacred Shrine - Douala,"Main Street, Douala, Cameroon"
1310,3,13,Crystal Bay - N'Djamena,"Main Street, N'Djamena, Chad"
1311,3,34,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad"
1312,3,64,Cultural Heritage Center - N'Djamena,"Main Street, N'Djamena, Chad"
1313,3,34,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad"
1314,5,91,National Park - Kigali Province,"Main Street, Kigali Province, Rwanda"
